Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
346, 3.06589, 2.86749, 1
347, 2.91341, 2.86294, 1
348, 2.8559, 3.03155, 1
349, 3.03008, 2.89043, 1
350, 2.94093, 3.00598, 1
351, 3.03715, 3.06262, 1
352, 3.06246, 2.79552, 1
353, 2.80781, 2.98758, 1
354, 3.04787, 2.9793, 1
355, 3.06422, 2.80086, 1
356, 3.06582, 2.79558, 1
357, 3.0601, 2.79962, 1
358, 3.072, 2.79757, 1
359, 3.08451, 2.79616, 1
360, 3.06182, 2.796, 1
361, 3.048, 2.79754, 1
362, 3.05357, 2.98118, 1
363, 3.07408, 2.97802, 1
364, 2.94784, 2.80518, 1
365, 3.10413, 3.07366, 1
366, 2.8503, 2.98813, 1
367, 2.80358, 2.98189, 1
368, 2.83654, 2.9833, 1
369, 2.82214, 2.97949, 1
370, 3.05965, 2.97574, 1
371, 3.07094, 2.79517, 1
372, 3.07197, 2.79347, 1
373, 3.0712, 2.79757, 1
374, 3.07536, 2.98301, 1
375, 3.03437, 2.79574, 1
376, 3.0656, 2.80067, 1
377, 3.0207, 2.79552, 1
378, 3.0761, 2.98422, 1
379, 3.05325, 2.80576, 1
380, 3.02454, 2.79978, 1
381, 3.0679, 2.97706, 1
382, 3.06589, 2.79552, 1
383, 3.07405, 2.79533, 1
384, 3.03962, 2.79616, 1
385, 3.05718, 2.79514, 1
386, 3.06957, 2.79757, 1
387, 3.06957, 2.97507, 1
388, 3.06781, 2.79789, 1
389, 3.0367, 2.80131, 1
390, 3.07597, 2.9737, 1
391, 3.08224, 2.79498, 1
392, 2.94086, 2.80016, 1
393, 2.86925, 2.9737, 1
394, 2.86893, 2.99469, 1
395, 3.02694, 2.98189, 1
396, 3.06272, 2.97661, 1
397, 3.08179, 2.79664, 1
398, 2.99494, 2.7927, 1
399, 3.04102, 2.97574, 1
400, 3.05654, 2.79357, 1
401, 2.99968, 2.79142, 1
402, 3.06397, 2.97994, 1
403, 2.83648, 2.79398, 1
404, 3.05562, 2.97408, 1
405, 3.06605, 2.79802, 1
406, 2.99827, 2.79773, 1
407, 3.05766, 2.80173, 1
408, 3.06592, 2.97574, 1
409, 3.04538, 2.80154, 1
410, 3.04307, 2.80166, 1
411, 3.00714, 2.98256, 1
412, 3.08234, 2.98301, 1
413, 3.072, 2.79552, 1
414, 3.01901, 2.7952, 1
415, 2.83862, 2.97798, 1
416, 2.84118, 2.98765, 1
417, 2.79622, 2.97901, 1
418, 2.82093, 2.99606, 1
419, 3.05571, 2.98774, 1
420, 2.84285, 2.79424, 1
421, 3.06381, 2.98794, 1
422, 3.09091, 2.79757, 1
423, 3.00851, 2.99418, 1
424, 3.08019, 3.00013, 1
425, 3.04752, 2.79645, 1
426, 3.00704, 2.9929, 1
427, 2.81766, 2.98666, 1
428, 2.97597, 2.99008, 1
429, 2.81859, 2.79552, 1
430, 3.06131, 2.99203, 1
431, 2.81814, 2.79482, 1
432, 2.79901, 2.99296, 1
433, 2.83834, 2.99286, 1
434, 2.80995, 2.99418, 1
435, 2.8175, 2.99763, 1
436, 3.04742, 2.99418, 1
437, 3.07293, 2.99213, 1
438, 2.91651, 2.79347, 1
439, 2.87462, 3.00723, 1
440, 2.96323, 2.85696, 1
441, 3.00176, 2.99008, 1
442, 2.98189, 2.99402, 1
443, 2.82493, 2.79987, 1
444, 2.80166, 2.99619, 1
445, 2.84506, 2.99248, 1
446, 2.80166, 2.99011, 1
447, 2.80986, 2.9913, 1
448, 2.93891, 3.00269, 1
449, 3.06973, 3.07814, 1
450, 3.07866, 2.79488, 1
451, 2.94346, 2.79552, 1
452, 3.0375, 2.844, 1
453, 3.072, 2.64746, 1
454, 2.98032, 2.79974, 1
455, 3.08224, 2.79946, 1
456, 3.01056, 2.79302, 1
457, 2.98816, 2.99418, 1
458, 3.07814, 2.79974, 1
459, 3.04512, 2.79347, 1
460, 3.0679, 2.79859, 1
461, 3.03923, 2.79229, 1
462, 3.06275, 3.00237, 1
463, 3.05766, 2.7944, 1
464, 2.75728, 2.79629, 1
465, 3.08301, 2.99398, 1
466, 3.07619, 2.79962, 1
467, 2.9127, 2.79843, 1
468, 2.88973, 2.99213, 1
469, 3.07322, 3.00512, 1
470, 3.06208, 2.79616, 1
471, 3.03616, 2.79603, 1
472, 2.82659, 2.98752, 1
473, 3.03514, 2.99213, 1
474, 3.05562, 2.99789, 1
475, 3.06803, 2.7951, 1
476, 2.94736, 2.7993, 1
477, 2.9696, 2.84454, 1
478, 3.06586, 2.79155, 1
479, 3.02378, 2.80275, 1
480, 2.84733, 2.80166, 1
481, 3.06534, 2.99347, 1
482, 3.06995, 2.79757, 1
483, 3.00531, 2.79706, 1
484, 3.08227, 3.00646, 1
