Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_Full_GI_-_96_Surfels_Per_Probe
410, 0.578912, 2.80515, 1
411, 0.585536, 2.79872, 1
412, 0.581152, 2.80106, 1
413, 0.581632, 2.79962, 1
414, 0.58368, 2.85168, 1
415, 0.57824, 2.80189, 1
416, 0.583232, 2.79747, 1
417, 0.583008, 2.80445, 1
418, 0.580896, 2.79971, 1
419, 0.579232, 2.80166, 1
420, 0.582848, 2.80064, 1
421, 0.583744, 2.7992, 1
422, 0.581664, 2.79962, 1
423, 0.5784, 2.80157, 1
424, 0.580544, 2.80323, 1
425, 0.57344, 2.79962, 1
426, 0.570144, 2.7975, 1
427, 0.575712, 2.80166, 1
428, 0.573344, 2.79757, 1
429, 0.579584, 2.80419, 1
430, 0.578208, 2.80032, 1
431, 0.583072, 2.79347, 1
432, 0.57856, 2.79322, 1
433, 0.581632, 2.80074, 1
434, 0.58272, 2.79661, 1
435, 0.581856, 2.79757, 1
436, 0.580256, 2.79946, 1
437, 0.579584, 2.79962, 1
438, 0.582912, 2.80483, 1
439, 0.57872, 2.80198, 1
440, 0.573344, 2.85389, 1
441, 0.581632, 2.79757, 1
442, 0.583808, 2.8009, 1
443, 0.581632, 2.79757, 1
444, 0.582272, 2.79347, 1
445, 0.579136, 2.79597, 1
446, 0.56928, 2.80147, 1
447, 0.5712, 2.79757, 1
448, 0.570848, 2.7969, 1
449, 0.571552, 2.79962, 1
450, 0.576768, 2.79731, 1
451, 0.58112, 2.79757, 1
452, 0.582656, 2.79677, 1
453, 0.571104, 2.79757, 1
454, 0.583104, 2.80397, 1
455, 0.581632, 2.8032, 1
456, 0.58368, 2.7977, 1
457, 0.577536, 2.7969, 1
458, 0.58, 2.8031, 1
459, 0.581888, 2.79507, 1
460, 0.581632, 2.79904, 1
461, 0.582528, 2.79552, 1
462, 0.579648, 2.79776, 1
463, 0.573184, 2.79962, 1
464, 0.571264, 2.79757, 1
465, 0.5736, 2.79757, 1
466, 0.5696, 2.79795, 1
467, 0.580224, 2.79757, 1
468, 0.575936, 2.85002, 1
469, 0.581888, 2.80579, 1
470, 0.579168, 2.80685, 1
471, 0.580416, 2.79421, 1
472, 0.57344, 2.80096, 1
473, 0.575488, 2.79962, 1
474, 0.575488, 2.79155, 1
475, 0.58368, 2.79997, 1
476, 0.571648, 2.79347, 1
477, 0.57216, 2.79526, 1
478, 0.579584, 2.80051, 1
479, 0.575264, 2.79757, 1
480, 0.57344, 2.79962, 1
481, 0.575424, 2.79562, 1
482, 0.577536, 2.84877, 1
483, 0.581632, 2.79962, 1
484, 0.571392, 2.80426, 1
485, 0.569952, 2.8041, 1
486, 0.571168, 2.79552, 1
487, 0.575488, 2.79923, 1
488, 0.57952, 2.79552, 1
489, 0.579392, 2.80419, 1
490, 0.579808, 2.79962, 1
491, 0.579584, 2.80029, 1
492, 0.58096, 2.7953, 1
493, 0.576512, 2.79856, 1
494, 0.575616, 2.79392, 1
495, 0.582496, 2.80333, 1
496, 0.572288, 2.80342, 1
497, 0.571392, 2.80006, 1
498, 0.575488, 2.79958, 1
499, 0.581216, 2.80781, 1
500, 0.58336, 2.80301, 1
501, 0.57136, 2.80918, 1
502, 0.5704, 2.79846, 1
503, 0.57344, 2.79888, 1
504, 0.581632, 2.79782, 1
505, 0.568064, 2.80086, 1
506, 0.579968, 2.79718, 1
507, 0.576704, 2.79552, 1
508, 0.577536, 2.79962, 1
509, 0.573856, 2.79552, 1
510, 0.571392, 2.79907, 1
511, 0.57488, 2.79984, 1
512, 0.572416, 2.79933, 1
513, 0.58368, 2.79904, 1
514, 0.579904, 2.80448, 1
515, 0.58016, 2.80576, 1
516, 0.583648, 2.79962, 1
517, 0.572512, 2.80058, 1
518, 0.572224, 2.8041, 1
519, 0.58368, 2.80352, 1
520, 0.577536, 2.79792, 1
521, 0.579968, 2.80032, 1
522, 0.581376, 2.79958, 1
523, 0.585728, 2.79757, 1
524, 0.581632, 2.79709, 1
525, 0.575456, 2.79568, 1
526, 0.573856, 2.80166, 1
527, 0.581632, 2.7999, 1
528, 0.577088, 2.80093, 1
529, 0.583488, 2.80576, 1
530, 0.572832, 2.80026, 1
531, 0.581632, 2.80166, 1
532, 0.577952, 2.79968, 1
533, 0.58208, 2.80045, 1
534, 0.582272, 2.79872, 1
535, 0.579584, 2.80371, 1
536, 0.584608, 2.80381, 1
537, 0.581696, 2.80307, 1
538, 0.581632, 2.79565, 1
539, 0.583552, 2.79962, 1
540, 0.581408, 2.79552, 1
541, 0.581632, 2.79997, 1
542, 0.575488, 2.79709, 1
543, 0.581344, 2.79782, 1
544, 0.5824, 2.80678, 1
545, 0.578336, 2.79907, 1
546, 0.584736, 2.7976, 1
547, 0.582912, 2.79757, 1
548, 0.581696, 2.7976, 1
549, 0.583968, 2.79962, 1
550, 0.580288, 2.80109, 1
551, 0.582272, 2.79514, 1
552, 0.576576, 2.80371, 1
553, 0.582144, 2.79926, 1
554, 0.581536, 2.79968, 1
555, 0.583936, 2.79962, 1
556, 0.581728, 2.79872, 1
557, 0.580544, 2.79757, 1
558, 0.581632, 2.80826, 1
559, 0.58576, 2.81613, 1
560, 0.580672, 2.80099, 1
561, 0.5832, 2.79587, 1
562, 0.581248, 2.79757, 1
563, 0.581248, 2.79411, 1
564, 0.577536, 2.80003, 1
565, 0.577536, 2.79821, 1
566, 0.57152, 2.79872, 1
567, 0.575488, 2.79987, 1
568, 0.575904, 2.7992, 1
569, 0.577536, 2.80115, 1
570, 0.581728, 2.80576, 1
571, 0.579584, 2.79427, 1
572, 0.581152, 2.80314, 1
573, 0.57344, 2.79786, 1
574, 0.582464, 2.79962, 1
575, 0.58304, 2.8015, 1
576, 0.582208, 2.79814, 1
577, 0.577344, 2.79453, 1
578, 0.581952, 2.80778, 1
579, 0.58096, 2.79606, 1
580, 0.583392, 2.85261, 1
581, 0.583232, 2.80166, 1
582, 0.578496, 2.79552, 1
583, 0.5776, 2.80294, 1
584, 0.578304, 2.79757, 1
585, 0.585952, 2.79757, 1
586, 0.573664, 2.79552, 1
587, 0.5728, 2.79504, 1
588, 0.577536, 2.80118, 1
589, 0.579584, 2.81254, 1
590, 0.58368, 2.80102, 1
591, 0.570528, 2.7935, 1
592, 0.578976, 2.79757, 1
593, 0.582816, 2.79747, 1
594, 0.58144, 2.79962, 1
595, 0.58368, 2.79757, 1
596, 0.581792, 2.7936, 1
597, 0.58128, 2.79862, 1
598, 0.57984, 2.79962, 1
599, 0.581632, 2.79578, 1
600, 0.581472, 2.79651, 1
