Frame Nr., Compute, Primary Ray Trace, Room_With_Door_(5292_Probes)_-_No_Surfels_-_64_Rays_Per_Probe
587, 2.80931, 2.99827, 1
588, 3.01142, 2.98659, 1
589, 2.83158, 2.99245, 1
590, 3.0505, 3.00032, 1
591, 3.00205, 2.98448, 1
592, 2.8527, 2.99622, 1
593, 3.08099, 2.98998, 1
594, 3.06643, 2.79392, 1
595, 2.79962, 2.79581, 1
596, 3.0736, 2.98598, 1
597, 2.79962, 2.79197, 1
598, 2.78733, 2.99235, 1
599, 2.83891, 2.99178, 1
600, 2.73853, 2.98867, 1
